#不要报考太原师范学院#顶上去，坚持到高考结束 ?
"有些护校学生真是颠覆了我的想象。我原来对于那些真正护校的学生是心存敬意的，因为他们是为了学校的尊严和荣誉，但是，我却发现，事实根本不是这么回事。这个学生是坚定的护校者，每天骚扰我，但是一聊天，她竟然认为自己的学校是垃圾学校，这是我万万没有想到的。这就是当面一套背后一套的典型代 ?  展开全文,有些护校学生真是颠覆了我的想象。我原来对于那些真正护校的学生是心存敬意的，因为他们是为了学校的尊严和荣誉，但是，我却发现，事实根本不是这么回事。这个学生是坚定的护校者，每天骚扰我，但是一聊天，她竟然认为自己的学校是垃圾学校，这是我万万没有想到的。这就是当面一套背后一套的典型代表呀，当着学校领导面，拍着胸脯要捍卫学校，但是内心里却如此肮脏龌鹾，无论如何都不能说自己的母校是垃圾学校，这是多么的厌恶呀，言为心声，这才是内心的真实表达呀。一方面维护学校，另一方面又说学校是垃圾，这得多么双重人格，这得多么内心挣扎与纠结呀，这多狗粮吃的多么不容易呀！ @太原师范学院- @太原师范学院社团联合会 @太原师范学院微博协会 你们这都是啥学生呀？思想品德怎么教育的，师范学校，毕业怎么当老师呀？真觉得这个学校悲哀！不知道还有多少学生表面上执行洗白的脏活，内心里侮辱学校是垃圾学校，细思恐极。#起侮辱性绰号也属于欺凌##太原师范回应 未发生暴力行为# 收起全文"
"//@异想电影:#欺凌未成年人获刑1年半# #太原师范回应 未发生暴力行为# #瑶湘呼应# #太原师范学院# #正义网友与太原师范王芝芝通话录音# 太师校园欺凌的状况请了解一下,【面对校园霸凌，你会怎么做？】#欺凌未成年人获刑1年半#，引发热议！国外研究统计，至少有三分之一的孩子会在学校遭遇霸凌。有节目栏目组提出了一个问题:谁，来阻止校园欺凌？面对校园霸凌，你，是否会挺身而出？via思想聚焦的秒拍视频 ? ???"
"//@木童_XL://@andiechnn://@局部地区有团子雨:不解决问题，反倒是要解决提出问题的人？//@达啦崩吧你阳宝: //@刺客棉条:“如何防止此类事件被爆出”//@·昆仑君·:免费水军算盘打得不错//@秦桑槡颡:#李梓瑶#??#太原师范学院#??这个学院等着凉凉吧，做不了啥，只能尽我自己的力量帮你们多宣,#李梓瑶#这事真气人 ?"
#太原师范学院#这个学校太恶心了.到底人品道德有多恶劣才会干出这种事？为什么各个部门无动于衷？热度一而再再而三的被压下，失望，我每天都会看的！就要杠！ ?
#太原师范回应 未发生暴力行为#这种学校简直就是窝藏罪犯的毒窝啊！今年都给我报太原师范啊，校园暴力学校还包庇的那种。#太原师范学院##不要报考太原师范学院#  ?
#太原师范学院#  百度贴吧吧务是太原师范的老师，因部分师生勾结欲加害校园霸凌的受害者，   我发布了帖子“为高者师，为正者范”，被他们的老师给封号10天，封禁原因：滚                        原来贵校的老师都是这样的 ?
#太原师范学院#还好事情发出来的早 没有到填报志愿的时候 不过这种学校我也看不上 ?
#太原师范回应 未发生暴力行为#@太原师范学院- 你也就只会放屁，跟施暴者沆瀣一气，你怎么不去监狱里放屁？也就只有欺压好人的本事。混蛋! ?
#太原师范回应 未发生暴力行为##太师校园暴力##正义网友与太原师范王芝芝通话录音##不要报考太原师范学院##太师校园暴力##千万不要报考太原师范##太原师范回应 未发生暴力行为##太原师范学院#  upup 九江 ?
#欺凌未成年人获刑1年半##太原师范学院# #欺凌未成年人获刑1年半# #李梓瑶##太原师范回应 未发生暴力行为# ?
"#太原师范回应 未发生暴力行为##太原师范回应 未发生暴力行为##太原师范回应 未发生暴力行为##太原师范回应 未发生暴力行为##太原师范回应 未发生暴力行为##李梓瑶##太师校园暴力##太师校园暴力##太原师范校园暴力##太原师范校园暴力# 新话题！这两个都顶！加油！扩散！！！原来的话题被压热搜了 ?  展开全文,#太原师范回应 未发生暴力行为##太原师范回应 未发生暴力行为##太原师范回应 未发生暴力行为##太原师范回应 未发生暴力行为##太原师范回应 未发生暴力行为##李梓瑶##太师校园暴力##太师校园暴力##太原师范校园暴力##太原师范校园暴力# 新话题！这两个都顶！加油！扩散！！！原来的话题被压热搜了#太原师范回应 未发生暴力行为# 大家可以复制格式粘贴 ? 或者带话题转发！！一定要带话题！！去加热太原师范学院词条，多开话题！！#不要报考太原师范学院##李梓瑶##李梓瑶 赵湘# ? ??? 收起全文"
"#太原师范回应女生遭校园暴力##起侮辱性绰号也属欺凌# 目前关于太原师范学院校园暴力的话题已经被关闭了，涉事女孩也在微博上发帖称是同学间开玩笑，发微博是气头上的冲动，这样的节奏实在让人容易产生误解，学校的回应也没有把事情说的非常清楚，而侮辱性的绰号也属于欺凌的一种。此次事件希望真的只 ?  展开全文,#太原师范回应女生遭校园暴力##起侮辱性绰号也属欺凌# 目前关于太原师范学院校园暴力的话题已经被关闭了，涉事女孩也在微博上发帖称是同学间开玩笑，发微博是气头上的冲动，这样的节奏实在让人容易产生误解，学校的回应也没有把事情说的非常清楚，而侮辱性的绰号也属于欺凌的一种。此次事件希望真的只是同学间的打闹，仅是过分了，总比真的存在校园霸凌的好。但是如果是息事宁人的，那学校的处理真的是太让人失望了。一定从小教会孩子如何面对欺凌，对于自己不喜欢的玩笑方式也要勇敢的拒绝！  Auther:ai读书的文盲 收起全文"
我关注了太原师范学院超话，小伙伴们快来加入太原师范学院超话一起聊聊吧~戳这里→ http://t.cn/zR0V3Mh ?
"//@旗鱼_文荒求推文 ://@尚书府前卖冰糕的 ://@欣歆然V5 :最近全省在搞二青会，这个学校要从学院变大学，所以目前该学校以及整个省教育系统以“大局为重”，解决掉了提出问题的人//@春水无觞 :学为人师，行为世范，太原师大不配//@秦桑槡颡 :#李梓瑶# ??#太原师范学院# ??这个学院等着凉,#李梓瑶#这事真气人 ?"
"呵呵哒 拖延战术#太原师范学院# #太原师范回应 未发生暴力行为#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"#太原师范学院# 这通话怎么解释？黑暗的人性@陈士渠 请了解,#太原师范回应 未发生暴力行为##太原师范学院#  #正义网友与太原师范王芝芝通话录音# 来围观正义网友和太原师范王芝芝(潘同学)在5月30日14点57分（视频名字写的时间是上传时写错了，这是正确时间）通话录音，原录音将近35分钟，经过剪辑留下关键部分还有10分钟33秒。看看太原师范是怎么处理校园霸凌事 ?  展开全文,#太原师范回应 未发生暴力行为##太原师范学院#  #正义网友与太原师范王芝芝通话录音# 来围观正义网友和太原师范王芝芝(潘同学)在5月30日14点57分（视频名字写的时间是上传时写错了，这是正确时间）通话录音，原录音将近35分钟，经过剪辑留下关键部分还有10分钟33秒。看看太原师范是怎么处理校园霸凌事件的，先要求被霸凌学生删除微博未果，接着限制被霸凌学生的人身自由，没收学生手机，登陆学生微博账号删除爆料微博，再发两条“改口微博”，公然欺骗全社会！等明天王芝芝父母到校，肯定是软硬兼施，最后大事化小，小事化了……  @韩东言 @苏渝 @学生来吐槽 @哔哩剧小综 @纸上速评 @Mr孙宁 @扒圈新闻 @遇见吴杰臻 @野比大雄 全然不同的微博视频 收起全文"
"#太原师范回应 未发生暴力行为# #不要报考太原师范学院#,#太原师范回应 未发生暴力行为#？？？？？？（黑词条 撤热搜）你们到底还隐瞒多少？这些施暴者到底有什么本事？可以通天是吗？凭什么，施暴者可以谈笑风生，真他妈不要脸。 ?"
